,match_id,match_start_time,home_team_id,home_team_name,home_team_logo,away_team_id,away_team_name,away_team_logo,home_score,away_score,venue_id,venue_name,venue_capacity,venue_lon,venue_lat
156,18382357,1583056800,fc_krasnodar,Краснодар,https://statistics-stat-logos.trbna.com/europe_league/2018-19/krasnodar.png,fc_ufa,Уфа,https://s5o.ru/storage/simple/ru/edt/85/49/70/12/rue67743dae8a.jpeg,0,0,krasnodar_stadium,Краснодар,35074.0,39.029444,45.044167
157,18382359,1583056800,fk_tambov,ФК Тамбов,https://s5o.ru/storage/simple/ru/edt/bb/cb/49/a7/ruedaa5736225.jpg,fc_rubin_kazan,Рубин Казань,https://s5o.ru/storage/simple/ru/edt/10/85/3e/55/rueb32ba662b6.jpg,0,0,mordovia_arena,Мордовия Арена,41685.0,45.201389,54.182778
158,18382361,1583056800,cska_moscow,ЦСКА,https://statistics-stat-logos.trbna.com/champions_league/2018-19/cska.png,fc_ural_yekaterinburg,Урал Екатеринбург,https://s5o.ru/storage/simple/ru/edt/11/49/70/31/rue7b0ad0aef4.jpeg,0,0,veb_arena,ВЭБ Арена,30457.0,37.516111,55.791389
160,18382365,1583056800,fc_akhmat_grozny,Ахмат,https://s5o.ru/storage/simple/ru/edt/eb/e9/7c/35/ruee5d9c2d146.jpg,fc_rostov,Ростов,https://s5o.ru/storage/simple/ru/edt/06/36/53/57/rue588c431762.jpg,0,0,akhmat-arena,Ахмат-Арена,30597.0,45.745252,43.323176
161,18382385,1583661600,fc_orenburg,Оренбург,https://s5o.ru/storage/simple/ru/edt/27/22/66/48/rue7501459800.jpg,arsenal_tula,Арсенал Тула,https://s5o.ru/storage/simple/ru/edt/19/34/88/94/rueeed52fad02.jpeg,0,0,gazovik_stadium,Газовик,4950.0,55.219,51.787754
162,18382371,1583661600,spartak_moscow,Спартак,https://s5o.ru/storage/simple/ru/edt/20/36/94/18/rue2997571681.jpeg,fc_krasnodar,Краснодар,https://statistics-stat-logos.trbna.com/europe_league/2018-19/krasnodar.png,0,0,otkritie_arena,Открытие Арена,44360.0,37.44025,55.817861
163,18382373,1583661600,fc_rostov,Ростов,https://s5o.ru/storage/simple/ru/edt/06/36/53/57/rue588c431762.jpg,cska_moscow,ЦСКА,https://statistics-stat-logos.trbna.com/champions_league/2018-19/cska.png,0,0,rostov_arena,Ростов Арена,45000.0,39.737778,47.209444
165,18382377,1583661600,fc_lokomotiv_moscow,Локомотив,https://statistics-stat-logos.trbna.com/champions_league/2018-19/lokomotiv.png,fc_akhmat_grozny,Ахмат,https://s5o.ru/storage/simple/ru/edt/eb/e9/7c/35/ruee5d9c2d146.jpg,0,0,rzd_arena,РЖД Арена,28800.0,37.741111,55.803611
166,18382379,1583661600,fc_rubin_kazan,Рубин Казань,https://s5o.ru/storage/simple/ru/edt/10/85/3e/55/rueb32ba662b6.jpg,fc_kryliya_sovetov_samara,Крылья Советов,https://s5o.ru/storage/simple/ru/edt/64/22/33/59/rue22b251fd68.jpeg,0,0,kazan_arena,Казань Арена,42873.0,49.158497,55.818837
167,18382157,1583661600,dinamo_st_pburg,Сочи,https://s5o.ru/storage/simple/ru/edt/45/f3/da/75/ruea6fa0bcbf8.jpg,fc_ural_yekaterinburg,Урал Екатеринбург,https://s5o.ru/storage/simple/ru/edt/11/49/70/31/rue7b0ad0aef4.jpeg,0,0,fisht_stadium,Fisht Olympic Stadium,47659.0,39.956111,43.402267
